id,image_path,purchase_date,rental_income,operating_expenses,purchase_price,vacancy_rate
1,https://photos.zillowstatic.com/fp/8ccec0ac70fde08d69fed913ce83e89f-cc_ft_1536.webp,2023-03-27 09:24:05,9609.78,235838.87,249946.12,44.81
2,https://photos.zillowstatic.com/fp/0c52d2ff7289d3d542c859f68fdbc8f2-cc_ft_1536.webp,2021-02-27 15:57:37,6063.44,56777.21,67803.59,57.66
3,https://photos.zillowstatic.com/fp/857ff5bea3f48054a1bcc0789ca9919a-cc_ft_768.webp,2019-04-26 22:59:51,8787.02,242451.37,100724.75,31.29
4,https://photos.zillowstatic.com/fp/857ff5bea3f48054a1bcc0789ca9919a-cc_ft_768.webp,2021-02-05 04:07:12,2188.46,163466.93,216623.82,0.99
5,https://photos.zillowstatic.com/fp/e5c45aa3886e9b832d5a5012b25fc0ed-uncropped_scaled_within_1536_1152.webp,2024-01-01 07:15:58,5981.48,170410.59,129345.7,59.26
6,https://photos.zillowstatic.com/fp/93e01e8055e05aad272cdf9d8e132f4a-cc_ft_1536.webp,2021-08-27 06:32:26,8446.97,163539.54,178967.18,4.46
7,https://photos.zillowstatic.com/fp/510de7bae4112e920d4e688eaac98b12-uncropped_scaled_within_1536_1152.webp,2018-12-27 17:35:50,7989.81,50999.49,256640.94,47.67
8,https://photos.zillowstatic.com/fp/0c52d2ff7289d3d542c859f68fdbc8f2-cc_ft_1536.webp,2023-05-16 17:30:52,5328.01,237123.04,111928.75,82.71
9,https://photos.zillowstatic.com/fp/93e01e8055e05aad272cdf9d8e132f4a-cc_ft_1536.webp,2022-11-29 10:29:35,4360.81,218290.4,142241.19,38.63
10,https://photos.zillowstatic.com/fp/510de7bae4112e920d4e688eaac98b12-uncropped_scaled_within_1536_1152.webp,2021-04-28 16:50:42,915.24,245443.05,293250.8,99.03
11,https://photos.zillowstatic.com/fp/0c52d2ff7289d3d542c859f68fdbc8f2-cc_ft_1536.webp,2024-02-21 18:31:50,7.51,175341.96,1237.55,37.82
12,https://photos.zillowstatic.com/fp/510de7bae4112e920d4e688eaac98b12-uncropped_scaled_within_1536_1152.webp,2022-12-14 16:56:12,5688.0,155278.9,153796.29,54.74
13,https://photos.zillowstatic.com/fp/510de7bae4112e920d4e688eaac98b12-uncropped_scaled_within_1536_1152.webp,2020-02-24 03:09:13,2445.85,4181.44,271427.24,45.84
14,https://photos.zillowstatic.com/fp/e5c45aa3886e9b832d5a5012b25fc0ed-uncropped_scaled_within_1536_1152.webp,2018-09-15 08:34:26,4434.8,124785.24,224177.88,82.36
15,https://photos.zillowstatic.com/fp/8ccec0ac70fde08d69fed913ce83e89f-cc_ft_1536.webp,2018-08-14 18:38:21,3601.42,30401.01,5828.61,71.95
16,https://photos.zillowstatic.com/fp/8ccec0ac70fde08d69fed913ce83e89f-cc_ft_1536.webp,2022-09-24 00:53:57,4031.19,205570.02,138354.43,19.6
17,https://photos.zillowstatic.com/fp/8ccec0ac70fde08d69fed913ce83e89f-cc_ft_1536.webp,2020-11-19 19:25:31,1628.53,61987.75,234540.61,32.98
18,https://photos.zillowstatic.com/fp/e5c45aa3886e9b832d5a5012b25fc0ed-uncropped_scaled_within_1536_1152.webp,2023-10-02 22:58:11,3033.23,249089.41,252919.13,9.9
19,https://photos.zillowstatic.com/fp/510de7bae4112e920d4e688eaac98b12-uncropped_scaled_within_1536_1152.webp,2021-02-07 05:55:11,6213.17,165406.35,16122.64,50.24
20,https://photos.zillowstatic.com/fp/e5c45aa3886e9b832d5a5012b25fc0ed-uncropped_scaled_within_1536_1152.webp,2024-01-27 08:42:52,4480.47,148027.59,21113.59,98.4
21,https://photos.zillowstatic.com/fp/93e01e8055e05aad272cdf9d8e132f4a-cc_ft_1536.webp,2021-06-21 03:57:59,9871.21,176686.18,217621.02,69.13
22,https://photos.zillowstatic.com/fp/0c52d2ff7289d3d542c859f68fdbc8f2-cc_ft_1536.webp,2022-06-05 12:19:29,9976.64,54599.79,116963.25,24.27
23,https://photos.zillowstatic.com/fp/857ff5bea3f48054a1bcc0789ca9919a-cc_ft_768.webp,2022-09-10 17:34:51,6033.41,214320.37,217256.57,51.68
24,https://photos.zillowstatic.com/fp/510de7bae4112e920d4e688eaac98b12-uncropped_scaled_within_1536_1152.webp,2019-06-18 16:40:07,7078.65,152222.8,67336.77,80.54
25,https://photos.zillowstatic.com/fp/93e01e8055e05aad272cdf9d8e132f4a-cc_ft_1536.webp,2022-02-28 22:22:45,4888.9,168821.69,286304.42,94.85
26,https://photos.zillowstatic.com/fp/8ccec0ac70fde08d69fed913ce83e89f-cc_ft_1536.webp,2022-05-13 06:32:24,946.21,171024.5,283863.48,51.47
27,https://photos.zillowstatic.com/fp/857ff5bea3f48054a1bcc0789ca9919a-cc_ft_768.webp,2023-09-04 17:09:55,1258.42,182547.15,297195.25,45.57
28,https://photos.zillowstatic.com/fp/510de7bae4112e920d4e688eaac98b12-uncropped_scaled_within_1536_1152.webp,2022-07-22 11:49:27,6909.0,86001.29,135991.82,25.1
29,https://photos.zillowstatic.com/fp/e5c45aa3886e9b832d5a5012b25fc0ed-uncropped_scaled_within_1536_1152.webp,2019-12-11 08:25:09,9017.71,199560.4,23235.98,74.03
30,https://photos.zillowstatic.com/fp/93e01e8055e05aad272cdf9d8e132f4a-cc_ft_1536.webp,2018-08-10 09:44:04,779.04,215051.18,6780.31,87.53
31,https://photos.zillowstatic.com/fp/510de7bae4112e920d4e688eaac98b12-uncropped_scaled_within_1536_1152.webp,2023-11-11 21:22:42,7708.97,131724.13,284946.42,3.85
32,https://photos.zillowstatic.com/fp/0c52d2ff7289d3d542c859f68fdbc8f2-cc_ft_1536.webp,2021-05-04 09:47:09,6730.65,580.74,73523.08,75.98
33,https://photos.zillowstatic.com/fp/0c52d2ff7289d3d542c859f68fdbc8f2-cc_ft_1536.webp,2021-12-19 18:53:16,978.04,200859.44,129073.19,55.28
34,https://photos.zillowstatic.com/fp/8ccec0ac70fde08d69fed913ce83e89f-cc_ft_1536.webp,2022-04-15 17:05:49,9223.9,128363.65,45274.75,79.02
35,https://photos.zillowstatic.com/fp/857ff5bea3f48054a1bcc0789ca9919a-cc_ft_768.webp,2022-08-17 09:59:37,4.94,34581.04,280340.39,87.89
36,https://photos.zillowstatic.com/fp/93e01e8055e05aad272cdf9d8e132f4a-cc_ft_1536.webp,2022-09-13 04:35:12,54.24,163846.64,39538.78,46.89
37,https://photos.zillowstatic.com/fp/93e01e8055e05aad272cdf9d8e132f4a-cc_ft_1536.webp,2018-07-20 09:52:50,8105.29,71125.01,265525.96,40.02
38,https://photos.zillowstatic.com/fp/510de7bae4112e920d4e688eaac98b12-uncropped_scaled_within_1536_1152.webp,2018-09-23 14:10:15,1103.62,159379.13,108944.58,33.4
